date,state,district,pincode,demo_age_5_17,demo_age_17_
01-06-2025,Punjab,Patiala,147201,120,847
01-06-2025,Andhra Pradesh,Prakasam,523001,214,1235
01-06-2025,Madhya Pradesh,Chhindwara,480559,162,692
01-06-2025,Madhya Pradesh,Bhopal,462010,99,724
01-06-2025,Andhra Pradesh,Dr. B. R. Ambedkar Konaseema,533255,38,227
01-06-2025,Madhya Pradesh,Chhindwara,480331,125,336
01-06-2025,Haryana,Panchkula,134113,111,483
01-06-2025,Telangana,K.v. Rangareddy,500070,164,909
01-06-2025,Karnataka,Bengaluru,562125,98,622
01-06-2025,Madhya Pradesh,Ratlam,457001,518,3178
01-06-2025,Karnataka,Yadgir,585223,202,500
01-06-2025,West Bengal,Uttar Dinajpur,733208,192,1876
01-06-2025,Madhya Pradesh,Chhatarpur,471318,176,579
01-06-2025,Maharashtra,Chandrapur,442401,109,803
01-06-2025,Rajasthan,Baran,325205,127,979
01-06-2025,Chhattisgarh,Jashpur,496223,248,3280
01-06-2025,Karnataka,Vijayanagara,583212,37,164
01-06-2025,Himachal Pradesh,Sirmaur,173001,57,620
01-06-2025,Haryana,Mewat,122107,109,911
01-06-2025,Rajasthan,Hanumangarh,335523,130,1275
01-06-2025,West Bengal,South 24 Parganas,743503,145,1390
01-06-2025,Haryana,Karnal,132001,464,2675
01-06-2025,Madhya Pradesh,Neemuch,458330,60,372
01-06-2025,Madhya Pradesh,Neemuch,458110,139,870
01-06-2025,Chhattisgarh,Bastar,494442,249,1833
01-06-2025,Madhya Pradesh,Bhopal,462001,164,1450
01-06-2025,Chhattisgarh,Kanker,494669,149,1924
01-06-2025,Uttar Pradesh,Lucknow,226003,261,3567
01-06-2025,Rajasthan,Jaipur,302029,161,1456
01-06-2025,Madhya Pradesh,Barwani,451551,349,1658
01-06-2025,Delhi,West Delhi,110018,305,3176
01-06-2025,Madhya Pradesh,Chhindwara,480111,242,302
01-06-2025,Andhra Pradesh,Ananthapuramu,515801,163,473
01-06-2025,Andhra Pradesh,Tirupati,517501,299,1573
01-06-2025,Chhattisgarh,Balrampur,497225,370,9334
01-06-2025,Telangana,Hyderabad,500005,331,1412
01-06-2025,Madhya Pradesh,Sagar,470339,111,554
01-06-2025,Telangana,Kamareddy,503111,89,585
01-06-2025,Karnataka,Chitradurga,577527,125,654
01-06-2025,Andhra Pradesh,Visakhapatnam,530017,132,771
01-06-2025,Karnataka,Kalaburagi,585301,159,328
01-06-2025,Madhya Pradesh,Shahdol,484669,157,639
01-06-2025,Chhattisgarh,Rajnandgaon,491885,265,4277
01-06-2025,Karnataka,Davangere,577601,135,518
01-06-2025,Madhya Pradesh,Ashok Nagar,473335,147,762
01-06-2025,Haryana,Kaithal,136035,25,223
01-06-2025,Karnataka,Kalaburagi,585310,199,558
01-06-2025,Madhya Pradesh,Balaghat,481226,150,575
01-06-2025,Madhya Pradesh,Guna,473001,239,1868
01-06-2025,Andhra Pradesh,Cuddapah,516003,139,595
01-06-2025,Karnataka,Mandya,571423,45,262
01-06-2025,Karnataka,Mysuru,571105,95,373
01-06-2025,Andhra Pradesh,Alluri Sitharama Raju,507129,29,138
01-06-2025,Delhi,North West Delhi,110089,78,661
01-06-2025,Haryana,Jhajjar,124507,213,1853
01-06-2025,Karnataka,Bidar,585227,105,337
01-06-2025,Madhya Pradesh,Satna,485447,97,454
01-06-2025,Gujarat,Valsad,396001,180,862
01-06-2025,Madhya Pradesh,Dhar,454001,404,1582
01-06-2025,Telangana,Sangareddy,502319,173,729
01-06-2025,Jammu and Kashmir,Anantnag,192201,95,492
01-06-2025,Karnataka,Ballari,583101,258,871
01-06-2025,Haryana,Yamuna Nagar,135003,142,802
01-06-2025,Gujarat,Surat,394210,674,5683
01-06-2025,Madhya Pradesh,Sagar,470227,145,681
01-06-2025,West Bengal,Murshidabad,742202,349,3450
01-06-2025,Maharashtra,Raigad,410206,226,2237
01-06-2025,West Bengal,Malda,732123,218,2158
01-06-2025,West Bengal,Uttar Dinajpur,733134,245,2579
01-06-2025,Maharashtra,Pune,412308,123,706
01-06-2025,Chhattisgarh,Baloda Bazar,493229,149,1919
01-06-2025,Madhya Pradesh,Gwalior,475110,235,1338
01-06-2025,Andhra Pradesh,Annamayya,517214,116,372
01-06-2025,Andhra Pradesh,Y. S. R,516289,34,143
01-06-2025,Andhra Pradesh,Kurnool,518222,128,520
01-06-2025,Delhi,South West Delhi,110075,125,1050
01-06-2025,West Bengal,North 24 Parganas,743456,96,935
01-06-2025,Rajasthan,Jodhpur,342601,117,726
01-06-2025,Andhra Pradesh,Eluru,534001,78,304
01-06-2025,Madhya Pradesh,Balaghat,481332,54,245
01-06-2025,Madhya Pradesh,Sehore,466001,152,827
01-06-2025,Madhya Pradesh,Satna,485775,176,658
01-06-2025,West Bengal,Malda,732201,238,2069
01-06-2025,Karnataka,Tumakuru,572101,59,239
01-06-2025,Telangana,Medchal-malkajgiri,500055,410,1644
01-06-2025,Telangana,Sangareddy,502032,304,1643
01-06-2025,Maharashtra,Beed,431122,369,2267
01-06-2025,Madhya Pradesh,Vidisha,464114,184,718
01-06-2025,Maharashtra,Nagpur,440035,207,1057
01-06-2025,Karnataka,Bengaluru,560023,85,375
01-06-2025,Chhattisgarh,Rajnandgaon,491441,645,9113
01-06-2025,Haryana,Karnal,132117,29,191
01-06-2025,Andhra Pradesh,Kurnool,518002,326,1520
01-06-2025,Andhra Pradesh,Sri Sathya Sai,515671,140,509
01-06-2025,Telangana,Jagitial,505327,43,352
01-06-2025,Andhra Pradesh,Chittoor,517416,64,321
01-06-2025,Maharashtra,Chandrapur,442903,12,217
01-06-2025,Assam,Kokrajhar,783361,11,236
01-06-2025,Haryana,Faridabad,121101,80,463
01-06-2025,Rajasthan,Ajmer,305901,164,1412
01-06-2025,Karnataka,Bengaluru,560036,144,963
01-06-2025,Chandigarh,Chandigarh,160047,123,1039
01-06-2025,Andhra Pradesh,Nandyal,518222,104,366
01-06-2025,Telangana,Medchal-malkajgiri,500090,306,1667
01-06-2025,Delhi,South Delhi,110025,234,1729
01-06-2025,Haryana,Fatehabad,125120,71,589
01-06-2025,Madhya Pradesh,Betul,460440,257,633
