date,state,district,pincode,bio_age_5_17,bio_age_17_
01-07-2025,Karnataka,Gulbarga,585213,42,104
01-07-2025,Andhra Pradesh,Chittoor,517425,519,611
01-07-2025,Karnataka,Dharwad,580007,275,341
01-07-2025,Maharashtra,Pune,411018,300,500
01-07-2025,Tamil Nadu,Tirunelveli,627002,121,396
01-07-2025,Karnataka,Ramanagar,562121,76,103
01-07-2025,Jharkhand,Simdega,835211,456,1115
01-07-2025,Punjab,SAS Nagar (Mohali),140306,367,229
01-07-2025,Jharkhand,Bokaro,829144,248,428
01-07-2025,Telangana,Nalgonda,508373,125,159
01-07-2025,Punjab,SAS Nagar (Mohali),140501,507,387
01-07-2025,Punjab,Bathinda,151108,135,301
01-07-2025,Rajasthan,Bikaner,334202,108,164
01-07-2025,Jharkhand,Ramgarh,825101,252,411
01-07-2025,Gujarat,Gandhinagar,382810,217,180
01-07-2025,Telangana,Warangal,506317,50,121
01-07-2025,West Bengal,North 24 Parganas,743223,13,25
01-07-2025,Telangana,Karimnagar,505184,128,225
01-07-2025,Assam,Kamrup Metro,781034,23,34
01-07-2025,Tamil Nadu,Krishnagiri,635304,111,141
01-07-2025,Andhra Pradesh,Krishna,521105,106,162
01-07-2025,Assam,Chirang,783385,73,67
01-07-2025,Karnataka,Mysore,570016,57,181
01-07-2025,Andhra Pradesh,Anantapur,515004,47,123
01-07-2025,Bihar,Vaishali,844111,127,293
01-07-2025,Maharashtra,Nagpur,441303,33,102
01-07-2025,Andhra Pradesh,Chittoor,517299,39,80
01-07-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524345,17,20
01-07-2025,Meghalaya,North Garo Hills,794108,26,16
01-07-2025,Assam,Kamrup Metro,781004,11,12
01-07-2025,Rajasthan,Pali,306116,172,197
01-07-2025,Maharashtra,Satara,415206,306,390
01-07-2025,Kerala,Thiruvananthapuram,695526,104,295
01-07-2025,Kerala,Palakkad,678593,61,162
01-07-2025,Uttar Pradesh,Allahabad,211013,682,405
01-07-2025,Maharashtra,Solapur,413222,245,598
01-07-2025,Tamil Nadu,Tiruchirappalli,621314,152,753
01-07-2025,Maharashtra,Nashik,424109,209,396
01-07-2025,Maharashtra,Raigarh,402108,125,98
01-07-2025,Maharashtra,Nanded,431604,829,1183
01-07-2025,Maharashtra,Wardha,442306,130,362
01-07-2025,West Bengal,Bankura,722141,319,294
01-07-2025,West Bengal,North Twenty Four Parganas,743126,44,148
01-07-2025,Uttar Pradesh,Balrampur,271205,721,398
01-07-2025,Kerala,Kozhikode,673103,37,138
01-07-2025,Jharkhand,Ranchi,834006,284,522
01-07-2025,Maharashtra,Kolhapur,416005,407,493
01-07-2025,Himachal Pradesh,Shimla,172022,30,46
01-07-2025,Tamil Nadu,Coimbatore,642109,80,229
01-07-2025,Andhra Pradesh,Prakasam,523265,87,119
01-07-2025,Gujarat,Anand,388570,85,95
01-07-2025,Kerala,Malappuram,676303,107,193
01-07-2025,Bihar,Buxar,802122,126,192
01-07-2025,Himachal Pradesh,Chamba,176324,39,80
01-07-2025,Rajasthan,Jhunjhunun,333515,101,149
01-07-2025,Kerala,Kottayam,686576,55,70
01-07-2025,Punjab,S.A.S Nagar(Mohali),140603,12,51
01-07-2025,Tamil Nadu,Vellore,632106,46,61
01-07-2025,Rajasthan,Jaipur,303904,156,256
01-07-2025,Rajasthan,Rajsamand,313211,59,84
01-07-2025,Andhra Pradesh,Krishna,521165,129,119
01-07-2025,Karnataka,Bengaluru,562157,76,74
01-07-2025,Uttar Pradesh,Basti,272182,185,92
01-07-2025,Andhra Pradesh,Warangal,506168,21,108
01-07-2025,Maharashtra,Raigad,410203,19,48
01-07-2025,Andhra Pradesh,Medak,502247,26,69
01-07-2025,Kerala,Kottayam,686586,20,16
01-07-2025,West Bengal,Hooghly,712417,218,303
01-07-2025,Chhattisgarh,Koriya,497339,142,410
01-07-2025,Rajasthan,Alwar,321606,622,419
01-07-2025,Uttar Pradesh,Mathura,281301,681,293
01-07-2025,Chhattisgarh,Dhamtari,493662,176,624
01-07-2025,Maharashtra,Mumbai Suburban,400065,155,135
01-07-2025,Bihar,Patna,801505,423,550
01-07-2025,Tamil Nadu,Thanjavur,612503,64,120
01-07-2025,Madhya Pradesh,Panna,488001,1152,1493
01-07-2025,Uttar Pradesh,Jalaun,285202,433,225
01-07-2025,Madhya Pradesh,Panna,488441,1219,785
01-07-2025,Gujarat,Gandhinagar,382650,47,60
01-07-2025,Kerala,Kozhikode,673016,67,207
01-07-2025,Maharashtra,Buldhana,443404,482,779
01-07-2025,Bihar,Darbhanga,847201,565,847
01-07-2025,Uttar Pradesh,Azamgarh,276406,242,188
01-07-2025,Jharkhand,Dhanbad,828119,45,129
01-07-2025,Gujarat,Kachchh,370421,160,142
01-07-2025,Tripura,South Tripura,799156,52,94
01-07-2025,Tamil Nadu,Sivaganga,630709,61,96
01-07-2025,Kerala,Kottayam,686602,25,39
01-07-2025,Assam,Nalbari,781306,18,22
01-07-2025,Assam,Dhubri,783323,93,49
01-07-2025,Haryana,Rewari,123035,193,150
01-07-2025,Rajasthan,Alwar,301406,520,376
01-07-2025,Andhra Pradesh,Nellore,524341,42,78
