date,state,district,pincode,demo_age_5_17,demo_age_17_
01-07-2025,Karnataka,Bengaluru,560100,182,1440
01-07-2025,Maharashtra,Buldhana,443301,92,849
01-07-2025,Rajasthan,Pali,306504,97,762
01-07-2025,Andhra Pradesh,Ananthapuramu,515865,72,396
01-07-2025,Karnataka,Bengaluru,560097,82,757
01-07-2025,Telangana,Hyderabad,500064,170,1766
01-07-2025,Karnataka,Raichur,584128,301,1345
01-07-2025,Punjab,Sri Muktsar Sahib,152026,143,1074
01-07-2025,Assam,Dhubri,783330,228,1578
01-07-2025,Maharashtra,Chandrapur,442702,42,473
01-07-2025,Maharashtra,Mumbai Suburban,400070,210,1118
01-07-2025,Gujarat,Rajkot,360001,94,1416
01-07-2025,Chhattisgarh,Dhamtari,493663,133,1054
01-07-2025,Punjab,Patiala,147201,137,1187
01-07-2025,West Bengal,Paschim Medinipur,721150,209,1465
01-07-2025,Madhya Pradesh,Damoh,470661,368,1598
01-07-2025,Madhya Pradesh,Bhopal,462010,153,983
01-07-2025,Andhra Pradesh,Annamayya,517325,268,1180
01-07-2025,Karnataka,Haveri,581205,77,307
01-07-2025,Delhi,Shahdara,110093,301,942
01-07-2025,West Bengal,Uttar Dinajpur,733208,317,3658
01-07-2025,West Bengal,Birbhum,731238,126,871
01-07-2025,Tamil Nadu,Tiruppur,641603,277,1159
01-07-2025,Madhya Pradesh,Dhar,454449,268,1118
01-07-2025,Madhya Pradesh,Agar Malwa,465441,99,793
01-07-2025,Gujarat,Surendra Nagar,363310,152,1187
01-07-2025,Andhra Pradesh,Bapatla,522265,56,226
01-07-2025,Chhattisgarh,Janjgir-champa,495692,42,608
01-07-2025,Delhi,South West Delhi,110078,283,1659
01-07-2025,Madhya Pradesh,Satna,485226,169,948
01-07-2025,Karnataka,Kalaburagi,585103,145,555
01-07-2025,Rajasthan,Hanumangarh,335803,135,836
01-07-2025,Uttar Pradesh,Saharanpur,247001,853,10548
01-07-2025,Uttar Pradesh,Muzaffarnagar,251001,461,4255
01-07-2025,West Bengal,South 24 Parganas,743338,356,1883
01-07-2025,Rajasthan,Jaipur,302004,134,1067
01-07-2025,Uttar Pradesh,Unnao,241503,365,3185
01-07-2025,West Bengal,Uttar Dinajpur,733207,368,5370
01-07-2025,West Bengal,South 24 Parganas,743355,198,2998
01-07-2025,Jammu and Kashmir,Pulwama,192123,108,541
01-07-2025,Maharashtra,Thane,400612,799,4745
01-07-2025,Andhra Pradesh,Nandyal,518543,75,296
01-07-2025,Uttar Pradesh,Mathura,281004,346,2328
01-07-2025,Andhra Pradesh,Sri Potti Sriramulu Nellore,524002,107,697
01-07-2025,Madhya Pradesh,Narsinghpur,487118,240,802
01-07-2025,Maharashtra,Nagpur,440034,204,1330
01-07-2025,Maharashtra,Mumbai Suburban,400097,195,1597
01-07-2025,West Bengal,South 24 Parganas,743368,175,2598
01-07-2025,Haryana,Faridabad,121006,112,632
01-07-2025,Chhattisgarh,Raipur,492001,360,2824
01-07-2025,Chhattisgarh,Balod,491223,186,565
01-07-2025,Punjab,Gurdaspur,143532,38,277
01-07-2025,Delhi,South Delhi,110080,80,721
01-07-2025,Andhra Pradesh,Chittoor,517423,59,346
01-07-2025,Chhattisgarh,Khairagarh Chhuikhadan Gandai,491888,177,1446
01-07-2025,Madhya Pradesh,Ujjain,456443,153,699
01-07-2025,Maharashtra,Palghar,401208,277,2609
01-07-2025,Telangana,Mahabubabad,506101,71,764
01-07-2025,Uttar Pradesh,Ghaziabad,201102,747,6572
01-07-2025,Rajasthan,Jaipur,302031,172,1241
01-07-2025,Assam,Hailakandi,788161,76,703
01-07-2025,Maharashtra,Chandrapur,441225,43,338
01-07-2025,Madhya Pradesh,Chhindwara,480441,245,767
01-07-2025,Karnataka,Dharwad,580114,95,179
01-07-2025,Delhi,West Delhi,110027,222,1730
01-07-2025,Madhya Pradesh,Satna,485771,193,798
01-07-2025,Telangana,Jogulamba Gadwal,509125,369,1914
01-07-2025,Maharashtra,Pune,412101,139,1297
01-07-2025,Andhra Pradesh,Chittoor,517415,38,451
01-07-2025,Andhra Pradesh,Visakhapatnam,530044,91,533
01-07-2025,Madhya Pradesh,Shajapur,465337,85,511
01-07-2025,West Bengal,Murshidabad,742213,304,2329
01-07-2025,Delhi,North West Delhi,110081,260,1476
01-07-2025,Madhya Pradesh,Dindori,481879,198,647
01-07-2025,Madhya Pradesh,Mandla,481662,163,558
01-07-2025,Chhattisgarh,Surguja,497111,182,3351
01-07-2025,West Bengal,Dakshin Dinajpur,733132,157,1803
01-07-2025,West Bengal,Bankura,722134,89,628
01-07-2025,Haryana,Ambala,134203,107,578
01-07-2025,Telangana,Nizamabad,503224,99,869
01-07-2025,Madhya Pradesh,Chhatarpur,471311,364,714
01-07-2025,Telangana,Karimnagar,505001,262,1934
01-07-2025,Telangana,Hyderabad,500058,39,364
01-07-2025,Delhi,North West Delhi,110040,592,2080
01-07-2025,Jammu and Kashmir,Kishtwar,182204,76,408
01-07-2025,Uttar Pradesh,Bijnor,246731,348,3205
01-07-2025,Chhattisgarh,Mahasamund,493445,262,1808
