date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-06-2025,Bihar,Patna,801109,116,239,10
01-06-2025,Uttar Pradesh,Rampur,244901,694,751,21
01-06-2025,Maharashtra,Dhule,425408,131,55,11
01-06-2025,Meghalaya,East Khasi Hills,793001,19,118,33
01-06-2025,Bihar,Sitamarhi,843320,237,179,11
01-06-2025,Assam,Cachar,788005,75,23,11
01-06-2025,Assam,Baksa,781346,28,12,12
01-06-2025,Meghalaya,West Garo Hills,794109,76,92,78
01-06-2025,Bihar,Muzaffarpur,842002,175,214,23
01-06-2025,Gujarat,Ahmadabad,380001,210,159,14
01-06-2025,Bihar,Lakhisarai,811311,298,478,10
01-06-2025,Bihar,Sitamarhi,843317,162,351,55
01-06-2025,Haryana,Faridabad,121001,421,86,18
01-06-2025,Uttar Pradesh,Gorakhpur,273015,82,223,10
01-06-2025,Karnataka,Bengaluru Urban,560098,52,18,19
01-06-2025,Karnataka,Bengaluru Urban,560029,67,27,19
01-06-2025,Bihar,Bhagalpur,812005,236,306,31
01-06-2025,Karnataka,Bengaluru Rural,560067,210,142,149
01-06-2025,Uttar Pradesh,Sitapur,261208,77,93,12
01-06-2025,Tamil Nadu,Kanchipuram,631502,264,76,11
01-06-2025,Telangana,Hyderabad,500028,295,178,11
01-06-2025,Punjab,Ludhiana,141007,257,159,17
01-06-2025,West Bengal,24 Paraganas North,743263,92,77,13
01-06-2025,Assam,Kokrajhar,783370,155,115,17
01-06-2025,Meghalaya,West Garo Hills,794005,29,199,240
01-06-2025,Gujarat,Gandhinagar,382721,204,67,41
01-06-2025,Assam,Dima Hasao,788819,33,28,10
01-06-2025,Bihar,Banka,813108,83,218,11
01-06-2025,Assam,Kamrup Metro,781005,29,29,12
01-06-2025,Bihar,Muzaffarpur,843115,158,196,10
01-06-2025,Haryana,Faridabad,121002,197,84,14
01-06-2025,Tamil Nadu,Salem,636006,90,21,11
01-06-2025,Bihar,Muzaffarpur,843109,200,260,11
01-06-2025,Maharashtra,Thane,421302,560,446,13
01-06-2025,Uttar Pradesh,Bahraich,271825,53,115,13
01-06-2025,Uttar Pradesh,Aligarh,250611,204,251,12
01-06-2025,Uttar Pradesh,Bahraich,271881,72,167,32
01-06-2025,Karnataka,Bengaluru Urban,560045,329,120,24
01-06-2025,Gujarat,Rajkot,363520,114,194,16
01-06-2025,Maharashtra,Hingoli,431712,261,62,14
01-06-2025,The Dadra And Nagar Haveli And Daman And Diu,Dadra And Nagar Haveli,396230,188,49,12
01-06-2025,Gujarat,Dang,394716,81,32,34
01-06-2025,West Bengal,Kolkata,700006,50,77,15
01-06-2025,Gujarat,Anand,388325,14,11,13
01-06-2025,Meghalaya,East Khasi Hills,793112,11,67,54
01-06-2025,Gujarat,Banas Kantha,385001,381,320,20
01-06-2025,Assam,Lakhimpur,784160,69,91,22
01-06-2025,Madhya Pradesh,Alirajpur,457882,68,111,13
01-06-2025,Meghalaya,South West Garo Hills,794115,231,170,126
01-06-2025,Assam,Sonitpur,784507,97,110,77
01-06-2025,Mizoram,Lawngtlai,796891,119,43,11
01-06-2025,Bihar,Pashchim Champaran,845450,88,262,10
01-06-2025,Gujarat,Dohad,389380,167,40,10
01-06-2025,Karnataka,Bengaluru Urban,560084,83,40,13
01-06-2025,Madhya Pradesh,Burhanpur,450332,343,186,10
01-06-2025,Bihar,Purbi Champaran,845305,194,416,93
01-06-2025,Gujarat,Dang,394710,141,40,36
01-06-2025,Bihar,Pashchim Champaran,845106,197,333,13
01-06-2025,West Bengal,24 Paraganas North,700129,21,36,10
01-06-2025,Bihar,Sitamarhi,843315,105,172,14
01-06-2025,Haryana,Kaithal,136027,406,19,10
01-06-2025,Uttar Pradesh,Bareilly,243001,298,369,21
01-06-2025,Assam,Marigaon,782410,119,66,55
01-06-2025,Assam,Kamrup Metro,781036,12,11,13
01-06-2025,Bihar,Purnia,854326,209,169,14
01-06-2025,Uttar Pradesh,Bahraich,271903,60,223,10
