date,state,district,pincode,age_0_5,age_5_17,age_18_greater
01-07-2025,Haryana,Panipat,132103,1344,169,10
01-07-2025,Arunachal Pradesh,West Kameng,790101,43,30,10
01-07-2025,Himachal Pradesh,Kullu,175101,57,24,33
01-07-2025,Karnataka,Bengaluru Urban,560068,394,263,147
01-07-2025,Karnataka,Bengaluru Rural,560087,153,98,88
01-07-2025,Jharkhand,Gumla,835324,184,111,11
01-07-2025,Uttar Pradesh,Kheri,261502,160,214,13
01-07-2025,Maharashtra,Solapur,413113,53,29,12
01-07-2025,West Bengal,Alipurduar,736202,82,100,18
01-07-2025,Assam,Kamrup Metro,782402,103,20,17
01-07-2025,Delhi,South Delhi,110029,57,15,16
01-07-2025,Gujarat,Bhavnagar,364140,218,83,11
01-07-2025,West Bengal,Darjeeling,734010,92,91,25
01-07-2025,Madhya Pradesh,Panna,488001,301,173,13
01-07-2025,Uttar Pradesh,Balrampur,271205,126,332,10
01-07-2025,Bihar,Purbi Champaran,845440,84,161,25
01-07-2025,Chhattisgarh,Balrampur,497224,230,123,25
01-07-2025,Gujarat,Mahisagar,389210,192,113,10
01-07-2025,Uttar Pradesh,Siddharth Nagar,272202,276,379,26
01-07-2025,Assam,Sivasagar,785640,90,52,52
01-07-2025,Meghalaya,Ri Bhoi,793105,186,400,343
01-07-2025,Manipur,Churachandpur,795128,348,1265,13
01-07-2025,Maharashtra,Buldhana,443001,434,74,18
01-07-2025,Assam,Jorhat,785633,14,14,18
01-07-2025,Uttar Pradesh,Jaunpur,223101,109,274,11
01-07-2025,Gujarat,Chhotaudepur,391140,49,35,21
01-07-2025,Uttar Pradesh,Rampur,243701,423,369,11
01-07-2025,Andhra Pradesh,Spsr Nellore,524345,56,59,15
01-07-2025,Maharashtra,Sangli,416412,183,156,12
01-07-2025,Odisha,Khordha,751024,37,37,13
01-07-2025,Assam,Dibrugarh,786613,51,16,45
01-07-2025,Madhya Pradesh,Khargone,451331,235,234,18
01-07-2025,Meghalaya,Kamrup,781131,13,71,59
01-07-2025,Maharashtra,Dhule,425405,500,416,35
01-07-2025,Bihar,Purnia,854301,273,244,11
01-07-2025,Gujarat,Dohad,389180,334,919,49
01-07-2025,Bihar,Patna,801110,154,428,31
01-07-2025,Uttar Pradesh,Rampur,244922,407,681,15
01-07-2025,Assam,Darrang,784114,190,56,11
01-07-2025,Gujarat,Surat,395007,264,90,12
01-07-2025,Karnataka,Bengaluru Urban,562157,42,13,14
01-07-2025,Gujarat,Kachchh,370421,47,30,11
01-07-2025,Madhya Pradesh,Alirajpur,457993,215,450,37
01-07-2025,Bihar,Pashchim Champaran,845451,202,354,30
01-07-2025,Assam,Dibrugarh,786003,94,39,29
01-07-2025,Uttar Pradesh,Rampur,244924,569,261,34
01-07-2025,Karnataka,Bengaluru Urban,560058,186,62,19
01-07-2025,Bihar,Saharsa,852106,310,300,24
01-07-2025,Meghalaya,West Garo Hills,794103,111,344,265
01-07-2025,Meghalaya,Ri Bhoi,793101,16,68,35
01-07-2025,Assam,Kamrup,781125,49,20,11
01-07-2025,Gujarat,Dohad,389382,131,190,22
01-07-2025,Uttar Pradesh,Rampur,244901,1462,884,53
01-07-2025,Assam,Cachar,788817,421,118,21
01-07-2025,Uttar Pradesh,Gonda,271403,123,261,10
01-07-2025,Uttar Pradesh,Lucknow,226003,592,532,18
01-07-2025,Uttar Pradesh,Maharajganj,273304,148,244,15
01-07-2025,Gujarat,Patan,384241,73,38,11
01-07-2025,Nagaland,Tuensang,798626,25,208,15
01-07-2025,Gujarat,Ahmadabad,382220,208,114,16
01-07-2025,Gujarat,Jamnagar,361001,235,55,10
01-07-2025,Uttar Pradesh,Siddharth Nagar,272207,292,447,15
01-07-2025,Assam,Tinsukia,786171,110,70,22
01-07-2025,West Bengal,Nadia,741253,77,14,11
01-07-2025,West Bengal,24 Paraganas North,743263,113,80,34
01-07-2025,Bihar,Pashchim Champaran,845306,189,436,33
01-07-2025,Madhya Pradesh,Khargone,451332,509,579,61
01-07-2025,Meghalaya,West Garo Hills,794104,359,329,251
01-07-2025,Assam,Kamrup Metro,781006,21,29,10
01-07-2025,Assam,Kamrup,781141,158,24,11
01-07-2025,Assam,Dibrugarh,786611,24,23,92
01-07-2025,Telangana,Hyderabad,500013,492,126,11
01-07-2025,West Bengal,Coochbehar,736146,204,303,12
01-07-2025,Assam,Chirang,783375,95,174,13
01-07-2025,Gujarat,Ahmadabad,380016,153,106,12
01-07-2025,Uttar Pradesh,Varanasi,221107,177,325,22
01-07-2025,Assam,Hojai,782446,1152,169,12
01-07-2025,Assam,Goalpara,783129,1114,205,70
01-07-2025,Delhi,New Delhi,110061,52,52,46
01-07-2025,Meghalaya,East Khasi Hills,793021,18,88,92
01-07-2025,Uttar Pradesh,Barabanki,225302,236,178,23
01-07-2025,Tamil Nadu,Chengalpattu,600130,21,26,11
01-07-2025,Punjab,Gurdaspur,143505,549,99,10
01-07-2025,Uttar Pradesh,Shahjahanpur,242221,765,696,18
01-07-2025,Karnataka,Bengaluru Urban,560077,217,136,89
01-07-2025,Meghalaya,South West Garo Hills,794106,167,77,35
01-07-2025,Maharashtra,Mumbai Suburban,400043,854,758,25
01-07-2025,Madhya Pradesh,Shivpuri,473551,617,705,42
01-07-2025,Maharashtra,Pune,411001,159,70,14
01-07-2025,Maharashtra,Nanded,431714,341,126,14
01-07-2025,Nagaland,Peren,797110,36,105,18
01-07-2025,Madhya Pradesh,Sagar,470002,415,59,12
01-07-2025,Maharashtra,Thane,421501,181,137,36
01-07-2025,Jharkhand,Ranchi,835205,65,43,10
01-07-2025,Bihar,Gopalganj,841438,336,724,10
01-07-2025,Madhya Pradesh,Jhabua,457661,520,1091,65
01-07-2025,Meghalaya,North Garo Hills,794108,22,97,125
01-07-2025,Bihar,Sitamarhi,843327,366,476,24
01-07-2025,Assam,Goalpara,783125,273,88,10
01-07-2025,Gujarat,Amreli,364522,34,23,10
01-07-2025,West Bengal,24 Paraganas North,700049,55,67,12
01-07-2025,Telangana,Hyderabad,500001,253,132,23
01-07-2025,Delhi,South Delhi,110065,129,52,20
01-07-2025,Assam,Cachar,788117,72,45,10
01-07-2025,Madhya Pradesh,Barwani,451666,1400,1376,79
01-07-2025,Gujarat,Rajkot,360002,582,134,34
01-07-2025,Kerala,Thiruvananthapuram,695310,10,10,31
01-07-2025,Maharashtra,Satara,415523,327,116,16
01-07-2025,Telangana,Hyderabad,500029,98,51,14
01-07-2025,Gujarat,Devbhumi Dwarka,360510,103,26,19
01-07-2025,Maharashtra,Ahmednagar,414105,92,64,16
01-07-2025,Madhya Pradesh,Sagar,470227,167,52,10
01-07-2025,Assam,Tinsukia,786125,73,86,10
01-07-2025,Rajasthan,Jalore,343001,296,181,13
01-07-2025,Meghalaya,East Khasi Hills,793110,78,464,354
01-07-2025,Bihar,Nawada,805129,70,255,21
01-07-2025,Assam,West Karbi Anglong,782486,54,69,74
01-07-2025,Maharashtra,Mumbai Suburban,400059,125,69,11
01-07-2025,Uttar Pradesh,Muzaffarnagar,251002,391,175,11
01-07-2025,Chhattisgarh,Balrampur,497223,579,197,10
01-07-2025,Karnataka,Bengaluru Urban,560004,109,55,11
01-07-2025,Assam,Cachar,788030,371,151,47
01-07-2025,Assam,Kamrup,781120,26,14,25
01-07-2025,Nagaland,Mon,798621,117,221,29
01-07-2025,Assam,Dibrugarh,786001,108,60,70
01-07-2025,West Bengal,24 Paraganas North,700056,34,53,11
01-07-2025,West Bengal,24 Paraganas North,743127,91,83,14
01-07-2025,Assam,Golaghat,785625,49,38,90
01-07-2025,Karnataka,Bengaluru Urban,560048,106,83,51
01-07-2025,Bihar,Siwan,841406,192,414,12
01-07-2025,West Bengal,Nadia,741402,68,23,13
01-07-2025,Telangana,Hyderabad,500032,92,53,20
01-07-2025,Gujarat,Banas Kantha,385135,128,208,24
01-07-2025,Assam,Dhemaji,787059,401,133,19
01-07-2025,Assam,Dibrugarh,786191,32,20,19
01-07-2025,Gujarat,Gandhinagar,382721,269,86,116
01-07-2025,Assam,Cachar,788003,228,66,17
01-07-2025,Maharashtra,Buldhana,443103,198,84,22
01-07-2025,Gujarat,Chhotaudepur,391135,102,66,25
01-07-2025,Gujarat,Banas Kantha,385530,100,180,12
01-07-2025,Gujarat,Porbandar,360570,43,12,10
01-07-2025,Karnataka,Mysuru,571105,261,100,11
01-07-2025,Andhra Pradesh,Spsr Nellore,524411,78,54,15
01-07-2025,Maharashtra,Nanded,431708,372,135,10
01-07-2025,West Bengal,Nadia,741201,124,48,11
01-07-2025,Jharkhand,Ranchi,835222,130,132,33
01-07-2025,Rajasthan,Jodhpur,342301,391,346,10
01-07-2025,West Bengal,Hooghly,712149,177,111,12
01-07-2025,Rajasthan,Sirohi,307024,172,278,16
01-07-2025,Assam,Jorhat,785001,42,41,75
01-07-2025,Karnataka,Bengaluru Urban,560001,61,30,14
01-07-2025,Maharashtra,Hingoli,431702,297,71,18
01-07-2025,Gujarat,Morbi,363621,368,147,81
01-07-2025,West Bengal,Dinajpur Uttar,733207,1102,1207,45
01-07-2025,West Bengal,Alipurduar,736182,36,64,48
01-07-2025,Uttar Pradesh,Bahraich,271872,157,223,10
01-07-2025,Bihar,Pashchim Champaran,845438,608,1229,34
01-07-2025,Punjab,Kapurthala,144601,178,39,137
01-07-2025,Uttar Pradesh,Lucknow,226018,109,92,14
01-07-2025,Uttar Pradesh,Bareilly,243001,499,441,20
01-07-2025,Madhya Pradesh,Dhar,454446,518,380,24
01-07-2025,Assam,Dhemaji,786110,233,62,12
01-07-2025,Uttar Pradesh,Kanpur Nagar,208002,132,162,13
01-07-2025,Assam,Tinsukia,786182,65,92,16
01-07-2025,Gujarat,Kachchh,370001,295,138,13
01-07-2025,Bihar,Sitamarhi,843330,90,242,263
01-07-2025,Uttar Pradesh,Kheri,261506,215,254,14
01-07-2025,Bihar,Sitamarhi,843331,406,388,33
01-07-2025,Assam,Dibrugarh,786012,49,12,14
01-07-2025,West Bengal,24 Paraganas South,743347,364,104,22
01-07-2025,Karnataka,Bengaluru Urban,562106,113,34,11
01-07-2025,Uttar Pradesh,Pilibhit,262122,563,608,17
01-07-2025,Tamil Nadu,Chennai,600119,87,63,12
01-07-2025,Gujarat,Dohad,389190,245,356,29
01-07-2025,Gujarat,Surendranagar,363030,152,43,19
01-07-2025,Uttar Pradesh,Gautam Buddha Nagar,201306,363,434,33
01-07-2025,Madhya Pradesh,Morena,476221,631,492,18
01-07-2025,Maharashtra,Thane,421503,361,322,27
01-07-2025,Uttar Pradesh,Bahraich,271841,158,190,10
01-07-2025,Uttar Pradesh,Bahraich,271802,174,197,11
01-07-2025,Maharashtra,Jalgaon,425301,161,56,10
01-07-2025,Maharashtra,Mumbai,400022,114,92,12
01-07-2025,Bihar,Purbi Champaran,845304,185,292,26
01-07-2025,West Bengal,Alipurduar,735208,13,16,10
01-07-2025,Gujarat,Banas Kantha,385550,251,255,18
01-07-2025,Assam,Tinsukia,786156,114,76,120
01-07-2025,Gujarat,Porbandar,360579,84,33,17
01-07-2025,Gujarat,Botad,364750,170,79,10
01-07-2025,Bihar,Sitamarhi,843319,179,125,10
01-07-2025,Gujarat,Amreli,364515,128,34,15
01-07-2025,Maharashtra,Hingoli,431701,349,93,13
01-07-2025,Gujarat,Rajkot,360004,335,124,31
01-07-2025,Uttar Pradesh,Kheri,262701,374,370,12
01-07-2025,Karnataka,Bengaluru Urban,560037,121,137,142
01-07-2025,Assam,Karimganj,788806,166,83,19
01-07-2025,Uttar Pradesh,Shravasti,271831,425,669,24
01-07-2025,Madhya Pradesh,Morena,476111,529,533,25
01-07-2025,Uttar Pradesh,Lucknow,226001,212,199,13
01-07-2025,Madhya Pradesh,Bhind,477445,174,231,31
01-07-2025,Gujarat,Banas Kantha,385565,319,329,35
01-07-2025,West Bengal,Jalpaiguri,735206,10,49,10
01-07-2025,Meghalaya,East Khasi Hills,793005,25,135,88
01-07-2025,Odisha,Nabarangpur,764074,327,103,12
01-07-2025,Madhya Pradesh,Indore,452001,994,432,41
01-07-2025,Gujarat,Sabar Kantha,383205,99,41,15
01-07-2025,Karnataka,Ramanagara,562160,168,24,12
01-07-2025,Bihar,Nalanda,805130,156,650,25
01-07-2025,Uttar Pradesh,Etah,207244,267,238,10
01-07-2025,Madhya Pradesh,Bhind,477001,499,262,23
01-07-2025,Nagaland,Wokha,797111,40,191,17
01-07-2025,Punjab,Patiala,147001,766,237,18
01-07-2025,West Bengal,Darjeeling,734013,43,23,21
01-07-2025,Maharashtra,Mumbai Suburban,400074,148,64,12
01-07-2025,Meghalaya,East Khasi Hills,793009,12,113,110
01-07-2025,Maharashtra,Nandurbar,425432,344,195,16
01-07-2025,Assam,Jorhat,785636,63,13,17
01-07-2025,West Bengal,24 Paraganas North,743249,76,62,17
01-07-2025,Maharashtra,Hingoli,431705,371,116,31
01-07-2025,Uttar Pradesh,Ghaziabad,201204,249,194,10
01-07-2025,Jharkhand,West Singhbhum,833201,320,440,16
01-07-2025,Tripura,Sepahijala,799102,166,144,15
01-07-2025,Punjab,Ludhiana,141010,168,148,24
01-07-2025,Mizoram,Lunglei,796770,83,32,20
01-07-2025,Assam,West Karbi Anglong,782485,62,79,44
01-07-2025,Uttar Pradesh,Mainpuri,206301,124,294,11
01-07-2025,Delhi,Central Delhi,110054,103,33,10
01-07-2025,Madhya Pradesh,Morena,476115,548,429,53
01-07-2025,Bihar,Gaya,824236,109,606,14
01-07-2025,Meghalaya,East Garo Hills,794110,32,236,190
01-07-2025,Maharashtra,Nagpur,440024,244,70,13
01-07-2025,Assam,Dibrugarh,785675,125,61,42
01-07-2025,Punjab,Kapurthala,144401,146,35,40
01-07-2025,West Bengal,Jalpaiguri,735202,59,119,21
01-07-2025,Meghalaya,East Khasi Hills,793017,18,64,43
01-07-2025,Bihar,Nawada,805103,84,459,16
01-07-2025,Chhattisgarh,Bijapur,494444,656,238,184
01-07-2025,Uttar Pradesh,Mainpuri,205262,248,383,10
01-07-2025,Telangana,Hyderabad,500053,936,250,15
01-07-2025,Gujarat,Ahmedabad,382440,144,273,17
01-07-2025,Assam,Kamrup,781103,136,25,14
01-07-2025,Punjab,Amritsar,143001,1293,400,24
01-07-2025,Rajasthan,Karauli,322230,612,323,11
01-07-2025,Assam,Dibrugarh,786101,130,36,30
01-07-2025,Meghalaya,West Jaintia Hills,793109,18,113,118
01-07-2025,Uttar Pradesh,Fatehpur,212663,115,130,11
01-07-2025,Bihar,Samastipur,848101,513,488,13
01-07-2025,Karnataka,Bengaluru Urban,560008,78,42,26
01-07-2025,Assam,Kamrup Metro,781038,26,27,11
01-07-2025,Maharashtra,Dhule,424304,263,240,37
01-07-2025,Maharashtra,Nagpur,440017,412,86,14
01-07-2025,Madhya Pradesh,Katni,483501,441,264,12
01-07-2025,Telangana,Hyderabad,500028,580,190,22
01-07-2025,Bihar,Sitamarhi,843332,197,249,34
01-07-2025,Assam,Dhubri,783331,437,189,12
01-07-2025,Nagaland,Zunheboto,798620,48,277,24
01-07-2025,Meghalaya,East Khasi Hills,793015,46,325,424
01-07-2025,Telangana,Hyderabad,500024,205,87,10
01-07-2025,Maharashtra,Mumbai Suburban,400072,495,364,23
01-07-2025,Punjab,Ludhiana,141008,385,224,30
01-07-2025,Jharkhand,Dumka,814119,61,117,10
01-07-2025,Maharashtra,Dhule,425428,209,144,14
01-07-2025,Madhya Pradesh,Indore,452002,522,260,33
01-07-2025,Assam,Kamrup Metro,782403,80,15,13
