date,state,district,pincode,bio_age_5_17,bio_age_17_
01-06-2025,Bihar,Bhojpur,802207,229,269
01-06-2025,Telangana,K.v. Rangareddy,500050,127,94
01-06-2025,Chhattisgarh,Raipur,492015,191,626
01-06-2025,Maharashtra,Pune,411038,358,540
01-06-2025,Odisha,JAJPUR,755019,123,85
01-06-2025,Assam,Biswanath,784167,12,11
01-06-2025,Tamil Nadu,Vellore,632006,128,189
01-06-2025,Odisha,Bhadrak,756181,126,78
01-06-2025,Madhya Pradesh,Balaghat,481102,238,215
01-06-2025,Karnataka,Chitradurga,577523,59,88
01-06-2025,Andhra Pradesh,Nizamabad,503245,28,26
01-06-2025,Maharashtra,Pune,412102,98,120
01-06-2025,Rajasthan,Jhunjhunun,333502,69,122
01-06-2025,Andhra Pradesh,East Godavari,533006,243,154
01-06-2025,Andhra Pradesh,Khammam,507167,39,68
01-06-2025,Jharkhand,Dhanbad,828304,29,51
01-06-2025,Tamil Nadu,Thiruvarur,612804,23,59
01-06-2025,Tamil Nadu,Tiruchirappalli,621651,84,98
01-06-2025,Odisha,Mayurbhanj,757035,220,200
01-06-2025,Andhra Pradesh,Kakinada,533003,33,36
01-06-2025,Himachal Pradesh,Chamba,176313,13,28
01-06-2025,Karnataka,Kalaburagi,585313,201,85
01-06-2025,Tamil Nadu,Tirunelveli,627010,52,117
01-06-2025,Madhya Pradesh,Rewa,486003,173,104
01-06-2025,Tamil Nadu,Kanniyakumari,629178,32,43
01-06-2025,Karnataka,Shimoga,577245,17,49
01-06-2025,Karnataka,Belagavi,591316,74,32
01-06-2025,Uttar Pradesh,Sonbhadra,231223,371,203
01-06-2025,Tamil Nadu,Salem,636003,227,437
01-06-2025,Bihar,East Champaran,845456,131,147
01-06-2025,Maharashtra,Nandurbar,425414,1678,1700
01-06-2025,Chhattisgarh,Bilaspur,495001,706,2718
01-06-2025,Karnataka,Belagavi,591239,29,20
01-06-2025,Uttar Pradesh,Allahabad,212405,258,87
01-06-2025,Karnataka,Bidar,585402,272,343
01-06-2025,Nagaland,Mon,798602,23,96
01-06-2025,Jharkhand,Palamau,822113,53,204
01-06-2025,Telangana,Bhadradri Kothagudem,507124,56,36
01-06-2025,Odisha,Sambalpur,768105,380,172
01-06-2025,Andhra Pradesh,Prakasam,523112,287,110
01-06-2025,Tamil Nadu,Viluppuram,604205,26,63
01-06-2025,Gujarat,Junagadh,362150,33,211
01-06-2025,Rajasthan,Jodhpur,342309,227,189
01-06-2025,Rajasthan,Ajmer,305627,57,69
01-06-2025,Andhra Pradesh,Vizianagaram,535593,411,120
01-06-2025,Assam,Dibrugarh,786191,91,24
01-06-2025,Uttarakhand,Dehradun,248179,44,83
01-06-2025,Maharashtra,Dhule,424307,148,368
01-06-2025,Assam,Karbi Anglong,782482,135,70
01-06-2025,Uttar Pradesh,Kheri,262904,83,80
01-06-2025,Chhattisgarh,Korba,495446,252,884
01-06-2025,West Bengal,Hooghly,712103,82,159
01-06-2025,Kerala,Kannur,670694,58,73
01-06-2025,Rajasthan,Jaipur,303602,163,216
01-06-2025,Andhra Pradesh,Guntur,522626,82,21
01-06-2025,Tamil Nadu,Tirunelveli,627413,50,93
01-06-2025,Bihar,Gaya,805109,84,62
01-06-2025,Assam,Baksa,781377,24,18
01-06-2025,Kerala,Kozhikode,673525,144,237
01-06-2025,Uttar Pradesh,Agra,283119,269,113
01-06-2025,Andhra Pradesh,Kurnool,518405,188,69
01-06-2025,Karnataka,Ballari,583223,35,17
01-06-2025,Gujarat,Kachchh,370427,51,56
01-06-2025,West Bengal,Paschim Medinipur,721131,53,69
01-06-2025,Assam,Karbi Anglong,782450,32,19
01-06-2025,Madhya Pradesh,Guna,473443,12,38
01-06-2025,Haryana,Rewari,123412,34,61
01-06-2025,West Bengal,Hooghly,712705,41,60
01-06-2025,Himachal Pradesh,Kinnaur,172107,27,54
01-06-2025,Kerala,Alappuzha,689109,16,21
01-06-2025,Uttar Pradesh,Bijnor,246749,962,342
01-06-2025,Rajasthan,Ajmer,305001,888,1440
01-06-2025,Maharashtra,Mumbai Suburban,400103,56,52
01-06-2025,Tamil Nadu,Madurai,625012,189,377
01-06-2025,Chhattisgarh,Baloda Bazar,493228,468,1112
01-06-2025,Assam,Jorhat,785107,57,11
01-06-2025,Rajasthan,Ajmer,305002,42,53
01-06-2025,Maharashtra,Hingoli,431542,471,968
01-06-2025,Bihar,Patna,803201,523,525
01-06-2025,Telangana,Karimnagar,505305,149,95
01-06-2025,Tamil Nadu,Nagapattinam,611001,164,173
01-06-2025,Jharkhand,Ramgarh,829103,40,48
01-06-2025,Uttarakhand,Nainital,263136,96,96
01-06-2025,West Bengal,Dakshin Dinajpur,733133,122,139
01-06-2025,Odisha,Ganjam,761146,72,70
01-06-2025,Andhra Pradesh,Chittoor,517644,245,113
01-06-2025,Odisha,Nabarangapur,764061,196,220
01-06-2025,Maharashtra,Sangli,415313,24,75
01-06-2025,Gujarat,Kheda,388215,49,62
01-06-2025,West Bengal,Howrah,711314,182,139
01-06-2025,Kerala,Kottayam,686006,24,36
01-06-2025,Andhra Pradesh,Ananthapur,515591,250,56
01-06-2025,Andhra Pradesh,Chittoor,517351,112,29
01-06-2025,Assam,Nalbari,781349,34,25
01-06-2025,Andhra Pradesh,Krishna,521402,118,89
01-06-2025,Karnataka,Bagalkot,587203,175,176
01-06-2025,West Bengal,Murshidabad,731241,20,33
01-06-2025,Odisha,Baleswar,756046,142,126
01-06-2025,Rajasthan,Jaisalmer,345031,105,106
01-06-2025,Telangana,Hyderabad,500050,59,46
01-06-2025,Maharashtra,Mumbai,400054,83,213
01-06-2025,Andhra Pradesh,Guntur,522408,164,52
01-06-2025,West Bengal,Murshidabad,742157,64,100
01-06-2025,Goa,North Goa,403508,12,47
01-06-2025,Telangana,Warangal Rural,506122,39,42
01-06-2025,Kerala,Kottayam,686020,36,59
01-06-2025,Uttar Pradesh,Pratapgarh,230130,17,16
01-06-2025,Karnataka,Bengaluru,560074,14,41
01-06-2025,Karnataka,Bengaluru,560051,67,108
01-06-2025,Maharashtra,Pune,411008,26,53
01-06-2025,Tamil Nadu,Tiruvannamalai,632311,68,66
01-06-2025,Tamil Nadu,Thiruvallur,601205,13,35
01-06-2025,Uttarakhand,Almora,263678,28,23
01-06-2025,Tamil Nadu,Kancheepuram,600089,10,35
01-06-2025,Andhra Pradesh,Bapatla,522324,26,11
01-06-2025,Karnataka,Hassan,573165,37,23
01-06-2025,Punjab,Amritsar,143001,2296,3656
01-06-2025,Tamil Nadu,Thanjavur,613501,75,131
01-06-2025,Maharashtra,Gadchiroli,442504,465,1457
01-06-2025,Uttar Pradesh,Hardoi,241403,533,267
01-06-2025,Bihar,Darbhanga,846003,320,339
01-06-2025,Maharashtra,Aurangabad,431135,117,262
01-06-2025,Odisha,Ganjam,761132,111,88
01-06-2025,Uttar Pradesh,Prayagraj,211006,34,30
01-06-2025,West Bengal,East Midnapore,721444,37,66
01-06-2025,Uttar Pradesh,Banda,210128,160,112
01-06-2025,Kerala,Thiruvananthapuram,695603,68,117
01-06-2025,Uttar Pradesh,Jaunpur,222146,111,84
01-06-2025,West Bengal,Jalpaiguri,736204,128,138
01-06-2025,Telangana,Vikarabad,501501,77,85
01-06-2025,Tamil Nadu,Viluppuram,604201,39,63
01-06-2025,Telangana,Hyderabad,500058,79,79
01-06-2025,Andhra Pradesh,Visakhapatnam,530004,254,173
01-06-2025,Gujarat,Mahesana,382840,42,85
01-06-2025,Uttar Pradesh,Mirzapur,231306,101,82
01-06-2025,Madhya Pradesh,Umaria,484552,109,75
01-06-2025,Andhra Pradesh,Hyderabad,500004,48,182
01-06-2025,Maharashtra,Bhandara,441907,173,287
01-06-2025,Assam,Sibsagar,785640,39,42
01-06-2025,Andhra Pradesh,Visakhapatnam,531031,335,146
01-06-2025,Tamil Nadu,Karur,639201,38,57
01-06-2025,Chhattisgarh,Janjgir-champa,495663,72,241
01-06-2025,Punjab,Sangrur,148035,271,295
01-06-2025,Assam,Hojai,782440,44,78
01-06-2025,Tamil Nadu,Tiruvallur,601101,87,63
01-06-2025,Jammu and Kashmir,Kathua,184151,154,64
01-06-2025,Karnataka,Uttara Kannada,581440,36,24
01-06-2025,West Bengal,Haora,711414,14,55
01-06-2025,Tamil Nadu,Tirunelveli,627810,24,28
01-06-2025,Punjab,Jalandhar,144042,36,66
01-06-2025,Kerala,Thrissur,680122,27,28
01-06-2025,Chhattisgarh,Mahasamund,493445,1006,3720
01-06-2025,Uttar Pradesh,Jaunpur,222139,226,334
01-06-2025,Gujarat,Bhavnagar,364001,806,843
01-06-2025,Gujarat,Gandhinagar,382721,830,855
01-06-2025,Madhya Pradesh,Morena,476229,2866,702
01-06-2025,Bihar,East Champaran,845437,501,637
01-06-2025,Uttar Pradesh,Lucknow,227101,119,97
01-06-2025,Odisha,Dhenkanal,759013,215,216
01-06-2025,Kerala,Malappuram,679341,16,17
01-06-2025,Maharashtra,Thane,421402,123,185
01-06-2025,Bihar,Purnia,854202,904,921
01-06-2025,Tamil Nadu,Madurai,625532,380,437
